UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH(MUSLIM) (%),BUMIPUTERA SABAH(NON-MUSLIM) (%),BUMIPUTERA SARAWAK(MUSLIM) (%),BUMIPUTERA SARAWAK(NON-MUSLIM) (%),ORANG ASLI (%),OTHERS (%),URBAN-RURAL CLASSIFICATION (1947)
P.1,PERLIS,P.1,KANGAR,14200,81.4,14.5,2.1,0.0,0.0,0.0,0.0,0.0,2.0,RURAL
P.2,PERLIS,P.2,ARAU,13800,88.2,8.4,1.2,0.0,0.0,0.0,0.0,0.0,2.2,RURAL
P.3,KEDAH,P.3,JERLUN-LANGKAWI,16500,89.5,7.2,1.1,0.0,0.0,0.0,0.0,0.0,2.2,RURAL
P.4,KEDAH,P.4,KUBANG PASU,15800,85.2,10.1,2.5,0.0,0.0,0.0,0.0,0.0,2.2,RURAL
P.5,KEDAH,P.5,PADANG TERAP,12100,91.3,5.4,1.2,0.0,0.0,0.0,0.0,0.0,2.1,RURAL
P.6,KEDAH,P.6,KUALA KEDAH,18200,83.4,12.2,2.3,0.0,0.0,0.0,0.0,0.0,2.1,RURAL
P.7,KEDAH,P.7,ALOR SETAR,22400,42.5,44.2,10.4,0.0,0.0,0.0,0.0,0.0,2.9,URBAN
P.8,KEDAH,P.8,KOTA SETAR,19100,75.6,18.2,4.1,0.0,0.0,0.0,0.0,0.0,2.1,SEMI URBAN
P.9,KEDAH,P.9,ULU MUDA,13400,88.4,7.1,2.2,0.0,0.0,0.0,0.0,0.2,2.1,RURAL
P.10,KEDAH,P.10,BALING,15600,79.2,12.4,6.2,0.0,0.0,0.0,0.0,0.5,1.7,RURAL
P.11,KEDAH,P.11,JERAI,17200,77.5,14.2,6.1,0.0,0.0,0.0,0.0,0.0,2.2,RURAL
P.12,KEDAH,P.12,KUALA MUDA,19800,58.4,22.1,17.4,0.0,0.0,0.0,0.0,0.0,2.1,SEMI URBAN
